Species,Species_modified_from_WAHIS_FAO,host_class,host_order,host_family,host_gen_sp
condur,Condor,Aves,Cathartiformes,Catharidae,
Cooper's hawk,Cooper's_hawk,Aves,Accipitriformes,Accipitridae,
coot,coot,Aves,Gruiformes,Rallidae,
cormorant,cormorant,Aves,Suliformes,Phalacrocoracidae,
corn crake,corn_crake,Aves,Gruiformes,Rallidae,
Corvidae,Corvidae,Aves,Passeriformes,Corvidae,
Corvus brachyrhynchos: (Corvidae) American crow,American_crow,Aves,Passeriformes,Corvidae,Corvus brachyrhynchos
Crane,Crane,Aves,Gruiformes,Gruidae,
Crow,Crow,Aves,Passeriformes,Corvidae,
Crowned cormorant (Microcarbo coronatus),Crowned_cormorant,Aves,Suliformes,Phalacrocoracidae,Microcarbo coronatus
Curlew,Curlew,Aves,Charadriiformes,Scolopacidae,
Dalmatian pelican,Dalmatian_pelican,Aves,Pelecaniformes,Pelecanidae,Pelecanus crispus
Dogs,Canine,Mammalia,Carnivora,Canidae,
donkey,donkey,Mammalia,Perissodactyla,Equidae,
duck,duck,Aves,Anseriformes,Anatidae,
eagle owl,eagle_owl,Aves,Strigiformes,Strigidae,
Eastern buzzard:Buteo japonicus(Accipitridae),Eastern_buzzard,Aves,Accipitriformes,Accipitridae,
Egret,Egret,Aves,Pelecaniformes,Ardeidae,
Egyptian Goose (Alopochen aegyptiacus),Egyptian_Goose,Aves,Anseriformes,Anatidae,
emu,emu,Aves,Casuariiformes,Casuariidae,Dromaius novaehollandiae
Environmental sample:Unspecified bird,Environmental_sample:Unspecified_bird,Aves,,,
Environmental sample:Unspecified env. sample,Environmental_sample:Unspecified_env._sample,Undetermined,,,
Environmental sample:Unspecified mammal,Environmental_sample:Unspecified_mammal,Mammalia,,,
Eurasian Blackbird (Turdus merula),Eurasian_Blackbird,Aves,Passeriformes,Turdidae,Turdus merula
Eurasian buzzard (common buzzard) (Buteo buteo),Eurasian_buzzard,Aves,Accipitriformes,Accipitridae,Buteo buteo
Eurasian Collared Dove (Streptopelia decaocto),Eurasian_Collared_Dove,Aves,Columbiformes,Columbidae,Streptopelia decaocto
Eurasian coot (Fulica atra),Eurasian_coot,Aves,Gruiformes,Rallidae,Fulica atra
Eurasian eagle-owl (Bubo bubo) ,Eurasian_eagle-owl,Aves,Strigiformes,Strigidae,Bubo bubo
