Year,Semester,World_region,Country,Administrative_Division,Disease,Serotype_Subtype_Genotype,Animal_Category,Species,Outbreak_id,New_outbreaks,Susceptible,Cases,Killed_and_disposed_of,Slaughtered,Deaths,Vaccinated
2022,Jan-Jun 2022,Europe,Netherlands,Hoorn,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Gadwall,95633,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Houten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95631,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Houten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97786,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Houten,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,White Stork,97787,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Huizen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Black-headed Gull,95460,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Huizen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97773,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,IJsselstein,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,98766,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Jacobswoude,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,101621,1,-,5,0,0,5,0
2022,Jan-Jun 2022,Europe,Netherlands,Kampen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,101620,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Kapelle,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95193,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Kessel,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,101047,1,-,3,0,0,3,0
2022,Jan-Jun 2022,Europe,Netherlands,Kollumerland c.a.,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97406,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Kollumerland c.a.,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97780,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Kollumerland c.a.,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,97405,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Korendijk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Peregrin falcon,95503,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Laren,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian Sparrowhawk,101623,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Laren,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greater White-fronted Goose,97739,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Leersum,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Brent Goose,95462,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Leiden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101430,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Leiden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,98750,1,-,2,0,0,2,0
2022,Jan-Jun 2022,Europe,Netherlands,Leiderdorp,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Canada Goose,101420,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Leidschendam-Voorburg,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Grey-headed gull,97747,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lelystad,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,96094,1,"24,169",200,"23,969",0,200,0
2022,Jan-Jun 2022,Europe,Netherlands,Lelystad,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95473,1,-,3,0,0,3,0
2022,Jan-Jun 2022,Europe,Netherlands,Lelystad,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Great Cormorant,97816,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lingewaal,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,96487,1,"165,219",42,"165,207",0,12,0
2022,Jan-Jun 2022,Europe,Netherlands,Lingewaal,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),98727,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lingewaal,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,White Stork,97797,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lingewaard,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,97805,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lisse,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),101084,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Lith,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,97737,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Littenseradiel,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,98749,1,8,1,7,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Maarssen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,101071,1,-,3,0,0,3,0
2022,Jan-Jun 2022,Europe,Netherlands,Maarssen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Canada Goose,101077,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Maarssen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Greylag Goose,101080,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Maarssen,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,103368,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Maasbracht,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,101037,1,-,2,0,0,2,0
2022,Jan-Jun 2022,Europe,Netherlands,Maasdriel,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,98415,1,"65,818","2,090","65,528",0,290,0
2022,Jan-Jun 2022,Europe,Netherlands,Maasdriel,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97809,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Maastricht,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95474,0,-,3,0,0,3,0
2022,Jan-Jun 2022,Europe,Netherlands,Maastricht,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,95474,1,-,2,0,0,2,0
2022,Jan-Jun 2022,Europe,Netherlands,Midden-Drenthe,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Peregrin falcon,101039,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Moerdijk,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Domestic,Birds,96096,1,"47,424",141,"47,283",0,141,0
2022,Jan-Jun 2022,Europe,Netherlands,Moerdijk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95636,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Moerdijk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),103361,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Moerdijk,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Mute Swan,95464,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Monster,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Eurasian buzzard (common buzzard),97791,1,-,1,0,0,1,0
2022,Jan-Jun 2022,Europe,Netherlands,Muiden,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Wild,Barnacle Goose,95475,1,-,5,0,0,5,0
